Nim,Y,Mystic,Entei,1,Fri Jul 15 11:58:26 EDT 2016
Chris,Y,Valor,Charmander,6,Fri Jul 15 11:59:09 EDT 2016
Jack,Y,Valor,Mudkip,5,Fri Jul 15 11:59:33 EDT 2016
